genre,popularity, acousticness , danceability ,duration_ms, energy , liveness , loudness , speechiness , tempo , valence 
Electronic,43,"  0,05 ","  0,67 ",268800,"  0,65 ","  0,12 ","  (9,05)","  0,07 ","  94,87 ","  0,74 "
Electronic,35,"  0,01 ","  0,72 ",207224,"  0,88 ","  0,21 ","  (6,57)","  0,37 ","  170,10 ","  0,52 "
Electronic,45,"  0,33 ","  0,70 ",369146,"  0,42 ","  0,65 ","  (16,18)","  0,06 ","  118,01 ","  0,24 "
Electronic,42,"  0,02 ","  0,84 ",237520,"  0,47 ","  0,11 ","  (11,45)","  0,07 ","  98,96 ","  0,37 "
Electronic,49,"  0,00 ","  0,81 ",224800,"  0,36 ","  0,09 ","  (13,93)","  0,07 ","  120,00 ","  0,04 "
Electronic,39,"  0,00 ","  0,71 ",242533,"  0,83 ","  0,11 ","  (5,42)","  0,04 ","  144,03 ","  0,70 "
Electronic,33,"  0,00 ","  0,62 ",258207,"  1,00 ","  0,80 ","  (2,72)","  0,08 ","  145,02 ","  0,55 "
Electronic,36,"  0,00 ","  0,59 ",241213,"  0,90 ","  0,34 ","  (3,71)","  0,08 ","  104,07 ","  0,26 "
Electronic,29,"  0,00 ","  0,55 ",195200,"  0,91 ","  0,09 ","  (3,29)","  0,05 ","  150,00 ","  0,06 "
Electronic,39,"  0,03 ","  0,67 ",219499,"  0,94 ","  0,34 ","  (5,23)","  0,32 ","  160,03 ","  0,65 "
Electronic,35,"  0,31 ","  0,65 ",243827,"  0,97 ","  0,11 ","  (7,26)","  0,11 ","  162,86 ","  0,40 "
Electronic,47,"  0,15 ","  0,75 ",436200,"  0,48 ","  0,09 ","  (11,79)","  0,05 ","  115,01 ","  0,34 "
Electronic,30,"  0,02 ","  0,78 ",172362,"  0,92 ","  0,56 ","  (4,37)","  0,28 ","  139,99 ","  0,40 "
Electronic,34,"  0,03 ","  0,40 ",224627,"  0,68 ","  0,11 ","  (5,77)","  0,07 ","  154,63 ","  0,62 "
Electronic,34,"  0,00 ","  0,44 ",211200,"  0,93 ","  0,15 ","  (0,76)","  0,30 ","  72,04 ","  0,31 "
Electronic,42,"  0,01 ","  0,71 ",195987,"  0,86 ","  0,04 ","  (6,38)","  0,21 ","  139,98 ","  0,41 "
Electronic,39,"  0,11 ","  0,78 ",209711,"  0,67 ","  0,10 ","  (5,03)","  0,36 ","  170,12 ","  0,69 "
Electronic,31,"  0,00 ","  0,46 ",219691,"  0,64 ","  0,37 ","  (9,00)","  0,03 ","  90,01 ","  0,09 "
Electronic,34,"  0,12 ","  0,61 ",150608,"  0,51 ","  0,17 ","  (11,02)","  0,05 ","  76,58 ","  0,24 "
Electronic,38,"  0,01 ","  0,62 ",308120,"  0,65 ","  0,13 ","  (12,65)","  0,05 ","  122,00 ","  0,04 "
Electronic,34,"  0,03 ","  0,69 ",226667,"  0,95 ","  0,07 ","  (3,56)","  0,07 ","  126,03 ","  0,26 "
Electronic,41,"  0,00 ","  0,86 ",367687,"  0,57 ","  0,07 ","  (12,55)","  0,06 ","  126,98 ","  0,22 "
Electronic,24,"  0,30 ","  0,78 ",200800,"  0,68 ","  0,08 ","  (8,69)","  0,04 ","  126,03 ","  0,34 "
Electronic,35,"  0,14 ","  0,25 ",230747,"  0,30 ","  0,90 ","  (18,17)","  0,04 ","  90,40 ","  0,06 "
Electronic,44,"  0,09 ","  0,58 ",401253,"  0,67 ","  0,28 ","  (11,70)","  0,03 ","  121,71 ","  0,11 "
Electronic,34,"  0,07 ","  0,35 ",496013,"  0,61 ","  0,07 ","  (10,45)","  0,04 ","  115,90 ","  0,07 "
Electronic,26,"  0,00 ","  0,72 ",245285,"  0,87 ","  0,14 ","  (9,39)","  0,05 ","  140,01 ","  0,23 "
Electronic,35,"  0,18 ","  0,81 ",254427,"  0,33 ","  0,11 ","  (14,05)","  0,32 ","  176,03 ","  0,25 "
Electronic,49,"  0,03 ","  0,42 ",242680,"  0,94 ","  0,10 ","  (1,68)","  0,05 ","  172,96 ","  0,52 "
Electronic,29,"  0,00 ","  0,66 ",190800,"  1,00 ","  0,32 ","  (7,26)","  0,05 ","  124,90 ","  0,79 "
Electronic,46,"  0,20 ","  0,83 ",323218,"  0,54 ","  0,12 ","  (10,49)","  0,05 ","  122,02 ","  0,07 "
Electronic,31,"  0,02 ","  0,58 ",221278,"  1,00 ","  0,13 ","  (5,17)","  0,12 ","  127,95 ","  0,32 "
Electronic,45,"  0,32 ","  0,57 ",297380,"  0,58 ","  0,08 ","  (7,78)","  0,06 ","  128,00 ","  0,16 "
Electronic,27,"  0,03 ","  0,87 ",252029,"  0,63 ","  0,09 ","  (8,14)","  0,06 ","  123,98 ","  0,36 "
Electronic,30,"  0,01 ","  0,61 ",133027,"  0,62 ","  0,14 ","  (11,69)","  0,19 ","  100,02 ","  0,30 "
Electronic,34,"  0,18 ","  0,70 ",240240,"  0,71 ","  0,34 ","  (7,91)","  0,06 ","  139,77 ","  0,60 "
Electronic,27,"  0,06 ","  0,60 ",218496,"  0,86 ","  0,14 ","  (4,96)","  0,31 ","  145,06 ","  0,57 "
Electronic,39,"  0,72 ","  0,42 ",208267,"  0,21 ","  0,11 ","  (14,75)","  0,03 ","  148,07 ","  0,11 "
Electronic,29,"  0,52 ","  0,27 ",219514,"  0,57 ","  0,32 ","  (9,10)","  0,03 ","  103,79 ","  0,07 "
Electronic,29,"  0,09 ","  0,43 ",250227,"  0,81 ","  0,16 ","  (7,98)","  0,05 ","  126,58 ","  0,38 "
Electronic,20,"  0,59 ","  0,70 ",458667,"  0,42 ","  0,08 ","  (13,69)","  0,07 ","  90,00 ","  0,54 "
Electronic,47,"  0,00 ","  0,60 ",209440,"  0,95 ","  0,08 ","  (3,44)","  0,11 ","  140,14 ","  0,52 "
Electronic,29,"  0,01 ","  0,78 ",213333,"  0,86 ","  0,08 ","  (5,77)","  0,17 ","  126,01 ","  0,30 "
Electronic,29,"  0,00 ","  0,46 ",329143,"  0,91 ","  0,36 ","  (4,48)","  0,14 ","  139,94 ","  0,24 "
Electronic,27,"  0,00 ","  0,60 ",243857,"  0,97 ","  0,41 ","  (1,55)","  0,19 ","  139,91 ","  0,20 "
Electronic,33,"  0,59 ","  0,71 ",191747,"  0,49 ","  0,20 ","  (12,01)","  0,07 ","  140,01 ","  0,22 "
Electronic,38,"  0,03 ","  0,77 ",268800,"  0,67 ","  0,10 ","  (4,17)","  0,09 ","  104,01 ","  0,35 "
Electronic,21,"  0,00 ","  0,66 ",378440,"  0,83 ","  0,27 ","  (10,97)","  0,05 ","  125,67 ","  0,53 "
Electronic,22,"  0,00 ","  0,60 ",161551,"  0,88 ","  0,10 ","  (4,73)","  0,08 ","  173,95 ","  0,59 "
Electronic,25,"  0,00 ","  0,38 ",202800,"  0,67 ","  0,67 ","  (6,24)","  0,04 ","  162,97 ","  0,44 "
Folk,79,"  0,07 ","  0,70 ",197707,"  0,94 ","  0,60 ","  (2,99)","  0,05 ","  128,99 ","  0,79 "
Folk,68,"  0,26 ","  0,45 ",183733,"  0,53 ","  0,18 ","  (10,94)","  0,03 ","  79,30 ","  0,75 "
Folk,61,"  0,32 ","  0,77 ",212347,"  0,70 ","  0,11 ","  (5,56)","  0,34 ","  90,81 ","  0,77 "
Folk,61,"  0,93 ","  0,62 ",201085,"  0,19 ","  0,10 ","  (10,53)","  0,03 ","  125,02 ","  0,27 "
Folk,67,"  0,64 ","  0,26 ",289792,"  0,24 ","  0,11 ","  (13,74)","  0,03 ","  73,02 ","  0,05 "
Folk,64,"  0,85 ","  0,33 ",245780,"  0,36 ","  0,19 ","  (6,91)","  0,04 ","  93,78 ","  0,24 "
Folk,50,"  0,84 ","  0,26 ",200304,"  0,26 ","  0,25 ","  (9,65)","  0,04 ","  138,20 ","  0,23 "
Folk,63,"  0,86 ","  0,50 ",202440,"  0,50 ","  0,12 ","  (11,86)","  0,03 ","  84,88 ","  0,26 "
Folk,64,"  0,39 ","  0,47 ",229827,"  0,49 ","  0,62 ","  (10,41)","  0,03 ","  79,26 ","  0,37 "
Folk,58,"  0,64 ","  0,62 ",188413,"  0,61 ","  0,14 ","  (9,24)","  0,03 ","  147,17 ","  0,75 "
Folk,64,"  0,81 ","  0,69 ",148040,"  0,43 ","  0,12 ","  (13,25)","  0,06 ","  99,03 ","  0,69 "
